question_id,option_id,option_label,is_missing
2025-091_a_1,1,Yes,false
2025-091_a_1,2,No,false
2025-091_a_1,3,Unsure,false
2025-091_a_10,1,Completely disagree,false
2025-091_a_10,2,Disagree,false
2025-091_a_10,3,Somewhat disagree,false
2025-091_a_10,4,Neither agree nor disagree,false
2025-091_a_10,5,Somewhat agree,false
2025-091_a_10,6,Agree,false
2025-091_a_10,7,Completely agree,false
2025-091_a_11,1,Yes,false
2025-091_a_11,2,No,false
2025-091_a_12,1,Never,false
2025-091_a_12,2,Very rarely,false
2025-091_a_12,3,Rarely,false
2025-091_a_12,4,Occasionally,false
2025-091_a_12,5,Regularly,false
2025-091_a_12,6,Frequently,false
2025-091_a_12,7,Very frequently,false
2025-091_a_13,1,Yes,false
2025-091_a_13,2,No,false
2025-091_a_14,1,Yes,false
2025-091_a_14,2,No,false
2025-091_a_14,3,Unsure,false
2025-091_a_15,1,Stronger than they are now,false
2025-091_a_15,2,Weaker than they are now,false
2025-091_a_15,3,About the same,false
2025-091_a_16,1,Strongly Agree,false
2025-091_a_16,2,Agree,false
2025-091_a_16,3,Neutral,false
2025-091_a_16,4,Disagree,false
2025-091_a_16,5,Strongly Disagree,false
2025-091_a_17,1,Not at all,false
2025-091_a_17,2,Slightly,false
2025-091_a_17,3,Moderately,false
2025-091_a_17,4,Very,false
2025-091_a_17,5,Extremely,false
2025-091_a_17,6,Prefer not to answer,false
2025-091_a_18,1,Personalizes learning,false
2025-091_a_18,2,Reduces deep thinking,false
2025-091_a_18,3,Acts as a study aid,false
2025-091_a_18,4,"Adds convenience, not depth",false
2025-091_a_18,5,Encourages tech overuse,false
2025-091_a_18,6,Promotes dependancy,false
2025-091_a_18,7,Impact is still unclear,false
2025-091_a_19,1,Strongly Disagree,false
2025-091_a_19,2,Disagree,false
2025-091_a_19,3,Neutral,false
2025-091_a_19,4,Agree,false
2025-091_a_19,5,Strongly Agree,false
2025-091_a_2,1,Fear of COVID-19 infection,false
2025-091_a_2,2,Public health advice,false
2025-091_a_2,3,Social expectations,false
2025-091_a_2,4,Personal hygiene habits,false
2025-091_a_2,5,Workplace or school policies,false
2025-091_a_2,6,I wasn’t motivated by any specific reasons to hand-wash during the pandemic,false
2025-091_a_20,1,News reports,false
2025-091_a_20,2,Social media,false
2025-091_a_20,3,Advertising,false
2025-091_a_20,4,School/work,false
2025-091_a_20,5,Medical/health information,false
2025-091_a_20,6,Political discussions,false
2025-091_a_20,7,I haven't noticed statistics used recently,false
2025-091_a_21,1,"None, I have no idea what any of these are.",false
2025-091_a_21,2,"Little, I've heard of them or read about them.",false
2025-091_a_21,3,"Not much, but I learned them in school.",false
2025-091_a_21,4,"Very much, I use them regularly.",false
2025-091_a_22,1,Always,false
2025-091_a_22,2,Often,false
2025-091_a_22,3,Sometimes,false
2025-091_a_22,4,Never,false
2025-091_a_23,1,I do not use this type of software,false
2025-091_a_23,2,R-Studio,false
2025-091_a_23,3,Python,false
2025-091_a_23,4,SAS,false
2025-091_a_23,5,SPSS,false
2025-091_a_24,1,Extremely Unfair Underpayment,false
2025-091_a_24,2,Very Unfair Underpayment,false
2025-091_a_24,3,Somewhat Unfair Underpayment,false
2025-091_a_24,4,Slightly Unfair Underpayment,false
2025-091_a_24,5,Fair Payment,false
2025-091_a_24,6,Slightly Unfair Overpayment,false
2025-091_a_24,7,Somewhat Unfair Overpayment,false
2025-091_a_24,8,Very Unfair Overpayment,false
2025-091_a_24,9,Extremely Unfair Overpayment,false
2025-091_a_24,10,I am not employed,false
2025-091_a_3,1,"Less than $2,500",false
2025-091_a_3,2,"$2,500 - $5,000",false
2025-091_a_3,3,"$5,001 - $10,000",false
2025-091_a_3,4,"$10,001 - $20,000",false
2025-091_a_3,5,"More than $20,000 if necessary",false
2025-091_a_4,1,Relatively low,false
2025-091_a_4,2,Relatively high,false
2025-091_a_4,3,About average,false
2025-091_a_5,1,Seek help from a healthcare provider,false
2025-091_a_5,2,Take a federally approved medication,false
2025-091_a_5,3,Take a drug other than a federally approved medication,false
2025-091_a_5,4,Seek help from family and friends,false
2025-091_a_5,5,"Do nothing, expecting my problems to go away on their own",false
2025-091_a_6,1,Not at all lonely,false
2025-091_a_6,2,Slightly lonely,false
2025-091_a_6,3,A little lonely,false
2025-091_a_6,4,Moderately lonely,false
2025-091_a_6,5,Quite lonely,false
2025-091_a_6,6,Very lonely,false
2025-091_a_6,7,Extremely lonely,false
2025-091_a_7,1,Completely disagree,false
2025-091_a_7,2,Disagree,false
2025-091_a_7,3,Somewhat disagree,false
2025-091_a_7,4,Neither agree nor disagree,false
2025-091_a_7,5,Somewhat agree,false
2025-091_a_7,6,Agree,false
2025-091_a_7,7,Completely agree,false
2025-091_a_8,1,Completely disagree,false
2025-091_a_8,2,Disagree,false
2025-091_a_8,3,Somewhat disagree,false
2025-091_a_8,4,Neither agree nor disagree,false
2025-091_a_8,5,Somewhat agree,false
2025-091_a_8,6,Agree,false
2025-091_a_8,7,Completely agree,false
2025-091_a_9,1,Completely Disagree,false
2025-091_a_9,2,Disagree,false
2025-091_a_9,3,Somewhat Disagree,false
2025-091_a_9,4,Neither Agree nor Disagree,false
2025-091_a_9,5,Somewhat Agree,false
2025-091_a_9,6,Agree,false
2025-091_a_9,7,Completely Agree,false
